Food,Strength,Duration,Sell Price,Ingredients
Mighty Crab Risotto,Low,4:10,40,"Hylian Rice,Goat Butter,Rock Salt,Razorclaw Crab"
Mighty Crab Stir-Fry,Low,2:20,30,"Razorclaw Crab,Goron Spice"
Mighty Herb Sautè,High,5:30,,"Mighty Porgy x2,Mighty Thistle,Bird Egg,Goron Spice"
Mighty Porgy Meunière,High,4:50,100,"Tabantha Wheat,Goat Butter,Mighty Porgy x3"
Mighty Veggie Rice Balls,Low,4:20,70,"Hylian Rice,Mighty Thistle x4"
Mighty Fried Bananas,Low,3:10,30,"Mighty Bananas,Tabantha Wheat,Cane Sugar"
Mighty Fried Wild Greens,Mid,3:00,50,"Mighty Bananas,Razorshroom,Hyrule Herb,Mighty Thistle"
Mighty Simmered Fruit,Low,0:50,10,Mighty Bananas
Mighty Simmered Fruit,Low,1:40,20,"Mighty Bananas x4,Monster Extract"
Mighty Simmered Fruit,Mid,2:30,40,"Bird Egg,Razorclaw Crab"
Mighty Simmered Fruit,High,3:20,50,"Mighty Bananas,Mighty Thistle,Mighty Carp,Razorclaw Crab"
Mighty Simmered Fruit,High,4:10,70,"Bird Egg,Hyrule Herb,Razorclaw Crab"
Mighty Simmered Fruit,High,30:00,,"Mighty Carp x2,Razorshroom x2,Hylian Rice"
Mighty Seafood Skewer,Low,2:20,20,"Hylian Rice,Razorclaw Crab x4"
Mighty Seafood Skewer,High,3:20,70,"Mighty Bananas,Razorshroom,Raw Gourmet Meat,Goron Spice,Rock Salt"
Mighty Steamed Fish,Low,2:50,30,"Mighty Bananas x3,Mighty Carp,Raw Meat"
Mighty Seafood Rice Balls,High,4:20,100,"Mighty Bananas,Mighty Thistle,Raw Prime Meat,Mighty Porgy,Razorclaw Crab"
Mighty Seafood Rice Balls,High,4:20,,"Mighty Bananas,Mighty Thistle,Raw Prime Meat,Mighty Porgy,Hylian Rice"
Mighty Gourmet Spiced Meat Skewer,Low,4:40,,"Mighty Bananas x2,Mighty Thistle,Fresh Milk"
Mighty Meat and Seafood Fry,High,3:50,,
Mighty Prime Meat and Seafood Fry,High,3:50,120,
Mighty Meaty Rice Balls,High,4:00,110,
Mighty Steamed Fruit,High,3:50,50,
