Food,Strength,Duration,Sell Price,Ingredients
Spicy Steamed Mushrooms,Medium,30:00,,"Sunshroom x3,Warm Safflina,Shard of Farosh's Horn"
Spicy Pepper Steak,Low,10:30,,"Spicy Pepper x4,Raw Meat"
Spicy Mushroom Skewer,Medium,7:30,,Sunshroom x3
Spicy Mushroom Skewer,Low,2:30,,Sunshroom
Spicy Fruit and Mushroom Mix,Low,6:30,,"Hylian Shroom x3,Spicy Pepper x2"
Spicy Meat and Mushroom Skewer,Low,3:30,,"Acorn,Sunshroom,Raw Bird Drumstick"
Spicy Meat and Seafood Fry,Low,3:30,,"Hyrule Bass,Raw Meat,Spicy Pepper"
Spicy Pepper Seafood,Low,3:00,,"Hyrule Bass,Spicy Pepper"
Spicy Pepper Steak,Low,3:00,,"Spicy Pepper,Raw Bird Drumstick"
Spicy Salt-Grilled Meat,Low,4:00,,"Spicy Pepper,Raw Bird Drumstick,Rock Salt"
Spicy Salt-Grilled Prime Meat,Low,4:00,,"Spicy Pepper,Raw Prime Meat,Rock Salt"
Spicy Salt-Grilled Gourmet Meat,,5:00,,"Spicy Pepper,Raw Prime Meat,Raw Gourmet Meat,Rock Salt"
Spicy Simmered Fruit,Low,3:00,,"Apple,Spicy Pepper"
Spicy Simmered Fruit,Low,10:00,,"Spicy Peppers x4,Monster Extract"
Spicy Sauteed Peppers,Low,2:30,,Spicy Pepper
Spicy Veggie Rice Balls,Low,11:00,,"Hylian Rice,Warm Safflina x4"
Spicy Meaty Rice Balls,Low,6:40,,"Raw Meat,Hylian Rice,Fresh Milk,Goat Butter,Spicy Pepper"
Spicy Monster Curry,Medium,11:30,,"Gourmet Meat,Hylian Rice,Goron Spice,Monster Extract,Spicy Pepper"
Spicy Sauteed Peppers,Low,12:30,,Spicy Pepper x5
Spicy Fish Skewer,Medium,30:00,,"Sizzlefin Trout,Fairy x3,[Dragon]'s Horn Shard"
Spicy Fruit and Mushroom Mix,Medium,12:30,,"Spicy Pepper x4,Sunshroom"
